tree_id	block_id	created_at	tree_dbh	stump_diam	curb_loc	status	health	spc_latin	spc_common	steward	guards	sidewalk	user_type	problems	root_stone	root_grate	root_other	trunk_wire	trnk_light	trnk_other	brch_light	brch_shoe	brch_other	address	postcode	zip_city	community board	borocode	borough	cncldist	st_assem	st_senate	nta	nta_name	boro_ct	state	latitude	longitude	x_sp	y_sp	council district	census tract	bin	bbl
200398	408850	2015-09-03T00:00:00.000	3	0	OnCurb	Alive	Good	Gleditsia triacanthos var. inermis	honeylocust	None	None	Damage	TreesCount Staff	None	No	No	No	No	No	No	No	No	No	2043 RICHMOND AVENUE	10314	Staten Island	502	5	Staten Island	50	63	24	SI05	New Springville-Bloomfield-Travis	5027301	New York	40.59784149	-74.16242863	939142.6676	157127.9994	50	27301	5113825	5020150042
179942	215925	2015-08-27T00:00:00.000	8	0	OnCurb	Alive	Good	Tilia americana	American linden	1or2	None	NoDamage	Volunteer	None	No	No	No	No	No	No	No	No	No	280 DRIGGS AVENUE	11222	Brooklyn	301	3	Brooklyn	33	50	26	BK76	Greenpoint	3057100	New York	40.72262725	-73.94879371	998443.7022	202553.2787	33	571	3066804	3026810041
189351	223210	2015-08-30T00:00:00.000	4	0	OnCurb	Alive	Good	Gleditsia triacanthos var. inermis	honeylocust	3or4	Helpful	NoDamage	Volunteer	None	No	No	No	No	No	No	No	No	No	494 1 STREET	11215	Brooklyn	306	3	Brooklyn	39	52	21	BK37	Park Slope-Gowanus	3015500	New York	40.67099868	-73.97620526	990850.6954	183740.2097	39	155	3025188	3010760027
209058	415850	2015-09-08T00:00:00.000	6	0	OnCurb	Dead							TreesCount Staff		No	No	No	No	No	No	No	No	No	295 ROMA AVENUE	10306	Staten Island	503	5	Staten Island	50	64	24	SI25	Oakwood-Oakwood Beach	5012806	New York	40.55906117	-74.10603753	954785.6764	142975.3788	50	12806	5056700	5040740033
196020	506702	2015-09-01T00:00:00.000	2	0	OnCurb	Alive	Good	Gleditsia triacanthos var. inermis	honeylocust	1or2	None	Damage	Volunteer	None	No	No	No	No	No	No	No	No	No	2728 WEBB AVENUE	10468	Bronx	208	2	Bronx	14	81	33	BX28	Van Cortlandt Village	2026701	New York	40.86998754	-73.90162551	1011457.802	256252.899	14	26701	2015276	2032480111
205829	213861	2015-09-06T00:00:00.000	20	0	OnCurb	Alive	Good	Gleditsia triacanthos var. inermis	honeylocust	None	None	Damage	Volunteer	Stones	Yes	No	No	No	No	No	No	No	No	1119 EAST 54 STREET	11234	Brooklyn	318	3	Brooklyn	46	59	21	BK58	Flatlands	3072800	New York	40.63056031	-73.9241548	1005302.323	169015.6151	46	728	3215731	3077800041
208820	107238	2015-09-08T00:00:00.000	13	0	OnCurb	Alive	Good	Gleditsia triacanthos var. inermis	honeylocust	3or4	Harmful	NoDamage	Volunteer	None	No	No	No	No	No	No	No	No	No	333 EAST 66 STREET	10065	New York	108	1	Manhattan	5	76	28	MN31	Lenox Hill-Roosevelt Island	1011800	New York	40.76436461	-73.95955458	995453.9129	217757.9691	5	118	1044740	1014410017
178606	105607	2015-08-26T00:00:00.000	7	0	OnCurb	Alive	Good	Gleditsia triacanthos var. inermis	honeylocust	1or2	Helpful	NoDamage	Volunteer	None	No	No	No	No	No	No	No	No	No	137 EAST 36 STREET	10016	New York	106	1	Manhattan	4	73	28	MN20	Murray Hill-Kips Bay	1008000	New York	40.74780138	-73.97857966	990185.1915	211721.5855				
200673	229928	2015-09-03T00:00:00.000	30	0	OnCurb	Alive	Good	Platanus x acerifolia	London planetree	None	None	NoDamage	TreesCount Staff	Stones,BranchLights	Yes	No	No	No	No	No	Yes	No	No	1032 EAST 16 STREET	11230	Brooklyn	314	3	Brooklyn	44	48	17	BK43	Midwood	3053200	New York	40.6244214	-73.96036845	995251.5269	166772.4218	44	532	3180006	3067170023
186501	505606	2015-08-29T00:00:00.000	16	0	OnCurb	Alive	Good	Gleditsia triacanthos var. inermis	honeylocust	None	None	NoDamage	Volunteer	None	No	No	No	No	No	No	No	No	No	2438 HOFFMAN STREET	10458	Bronx	206	2	Bronx	15	78	34	BX06	Belmont	2038900	New York	40.85705393	-73.88745706	1015382.475	251545.4048	15	389	2011922	2030660034
197897	210476	2015-09-02T00:00:00.000	2	0	OnCurb	Alive	Good	Tilia americana	American linden	None	None	Damage	TreesCount Staff	WiresRope	No	No	No	Yes	No	No	No	No	No	810 AVENUE P	11223	Brooklyn	315	3	Brooklyn	44	45	22	BK25	Homecrest	3042000	New York	40.60961592	-73.96487682	994002.1888	161377.8636	44	420	3176223	3066400004
199051	107043	2015-09-03T00:00:00.000	4	0	OnCurb	Alive	Good	Malus	crab apple	None	None	NoDamage	TreesCount Staff	None	No	No	No	No	No	No	No	No	No	1870 BROADWAY	10023	New York	107	1	Manhattan	3	75	27	MN14	Lincoln Square	1014500	New York	40.76996828	-73.98212294	989201.764	219797.4889	3	145	1087510	1011147503
200406	408850	2015-09-03T00:00:00.000	4	0	OnCurb	Alive	Good	Gleditsia triacanthos var. inermis	honeylocust	None	None	Damage	TreesCount Staff	None	No	No	No	No	No	No	No	No	No	2024 RICHMOND AVENUE	10314	Staten Island	502	5	Staten Island	50	63	24	SI05	New Springville-Bloomfield-Travis	5027301	New York	40.59837239	-74.16253586	939113.2481	157321.4754	50	29103	5107349	5021000450
189459	219493	2015-08-30T00:00:00.000	4	0	OnCurb	Alive	Good	Gleditsia triacanthos var. inermis	honeylocust	1or2	Helpful	Damage	Volunteer	WiresRope	No	No	No	Yes	No	No	No	No	No	71 WAVERLY AVENUE	11205	Brooklyn	302	3	Brooklyn	35	50	25	BK69	Clinton Hill	3019100	New York	40.69543462	-73.96835285	993025.7498	192643.622	35	191	3054365	3018890036
189460	219493	2015-08-30T00:00:00.000	4	0	OnCurb	Alive	Good	Gleditsia triacanthos var. inermis	honeylocust	1or2	Helpful	NoDamage	Volunteer	None	No	No	No	No	No	No	No	No	No	77 WAVERLY AVENUE	11205	Brooklyn	302	3	Brooklyn	35	50	25	BK69	Clinton Hill	3019100	New York	40.69528272	-73.96832203	993034.3154	192588.2809	35	191	3054362	3018890033
189709	223525	2015-08-30T00:00:00.000	13	0	OnCurb	Alive	Good	Gleditsia triacanthos var. inermis	honeylocust	3or4	Helpful	NoDamage	Volunteer	BranchOther	No	No	No	No	No	No	No	No	Yes	209 LINCOLN PLACE	11217	Brooklyn	306	3	Brooklyn	39	52	21	BK37	Park Slope-Gowanus	3015900	New York	40.67530269	-73.9733763	991634.976	185308.512	39	159	3024466	3010590061
208761	107164	2015-09-08T00:00:00.000	14	0	OnCurb	Alive	Good	Gleditsia triacanthos var. inermis	honeylocust	1or2	Harmful	NoDamage	Volunteer	RootOther	No	No	Yes	No	No	No	No	No	No	327 EAST 64 STREET	10065	New York	108	1	Manhattan	5	76	28	MN31	Lenox Hill-Roosevelt Island	1011000	New York	40.76307992	-73.96064456	995152.1826	217289.7771	5	118	1044693	1014390014
